raw_intervention_name,normalized_name,nct_ids,clinicaltrials_intervention_type,previous_drug_type,new_pipeline_scope,scope_reason,scope_method,scope_confidence,dashboard_eligible,manual_review_required
Sargramostim GZ402664,sargramostim gz402664,NCT02667496,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Placebo,placebo,NCT00010803; NCT00040443; NCT00056329; NCT00066157; NCT00071721; NCT00086138; NCT00095719; NCT00160147; NCT00191009; NCT00205179; NCT00235716; NCT00239746; NCT00244322; NCT00322153; NCT00325728; NCT00329082; NCT00334568; NCT00368459; NCT00377715; NCT00409175; NCT00411580; NCT00423085; NCT00438568; NCT00440050; NCT00455000; NCT00470418; NCT00486044; NCT00515333; NCT00555204; NCT00566397; NCT00581867; NCT00582855; NCT00594568; NCT00602680; NCT00606164; NCT00607308; NCT00620191; NCT00621647; NCT00630851; NCT00663026; NCT00663936; NCT00667810; NCT00672945; NCT00675090; NCT00675623; NCT00676143; NCT00679627; NCT00684710; NCT00687141; NCT00689559; NCT00689637; NCT00692510; NCT00693004; NCT00708552; NCT00710684; NCT00715858; NCT00719394; NCT00722046; NCT00726115; NCT00736775; NCT00739037; NCT00744978; NCT00751907; NCT00762411; NCT00765115; NCT00810147; NCT00812565; NCT00814346; NCT00814801; NCT00829816; NCT00838084; NCT00838110; NCT00842673; NCT00842816; NCT00843518; NCT00857649; NCT00880412; NCT00884507; NCT00890890; NCT00895895; NCT00898807; NCT00904683; NCT00905372; NCT00930059; NCT00939822; NCT00940589; NCT00945672; NCT00948259; NCT00948909; NCT00951834; NCT00954252; NCT00954590; NCT00959803; NCT00975481; NCT00976118; NCT00979316; NCT00982202; NCT00988598; NCT01005862; NCT01009255; NCT01013610; NCT01018875; NCT01019421; NCT01028911; NCT01039701; NCT01044758; NCT01047254; NCT01055392; NCT01057030; NCT01058941; NCT01066481; NCT01073228; NCT01075763; NCT01078168; NCT01079819; NCT01117181; NCT01120002; NCT01125631; NCT01125683; NCT01127633; NCT01133405; NCT01137526; NCT01137799; NCT01142258; NCT01172145; NCT01203384; NCT01221259; NCT01224106; NCT01227252; NCT01254448; NCT01255046; NCT01282619; NCT01294540; NCT01303744; NCT01343966; NCT01350362; NCT01374438; NCT01397578; NCT01404169; NCT01406145; NCT01428362; NCT01428453; NCT01429623; NCT01438060; NCT01453569; NCT01467726; NCT01482013; NCT01482845; NCT01487395; NCT01496170; NCT01504854; NCT01513967; NCT01522404; NCT01527916; NCT01548430; NCT01549834; NCT01561430; NCT01569516; NCT01584440; NCT01608217; NCT01617577; NCT01626391; NCT01656525; NCT01661673; NCT01677572; NCT01677754; NCT01689233; NCT01689246; NCT01702467; NCT01702480; NCT01703117; NCT01715350; NCT01723670; NCT01729598; NCT01735630; NCT01741194; NCT01764243; NCT01767311; NCT01767909; NCT01780974; NCT01782742; NCT01795339; NCT01807026; NCT01827982; NCT01843075; NCT01852110; NCT01860625; NCT01864655; NCT01872598; NCT01887535; NCT01900665; NCT01908010; NCT01928420; NCT01953705; NCT01955161; NCT01966666; NCT01969123; NCT01969136; NCT01978548; NCT01994889; NCT01998841; NCT02006641; NCT02006654; NCT02008357; NCT02017340; NCT02033941; NCT02035553; NCT02035982; NCT02040987; NCT02045056; NCT02051608; NCT02061878; NCT02064920; NCT02078310; NCT02079909; NCT02080364; NCT02094729; NCT02103673; NCT02129348; NCT02142777; NCT02167256; NCT02178124; NCT02180269; NCT02221947; NCT02240693; NCT02245737; NCT02249351; NCT02249403; NCT02260674; NCT02279511; NCT02284906; NCT02288000; NCT02293915; NCT02322021; NCT02337907; NCT02346201; NCT02351882; NCT02353598; NCT02359552; NCT02360657; NCT02361424; NCT02377713; NCT02406027; NCT02434718; NCT02442765; NCT02442778; NCT02462161; NCT02471196; NCT02471833; NCT02477800; NCT02484547; NCT02503501; NCT02551809; NCT02569398; NCT02570997; NCT02576639; NCT02579252; NCT02580305; NCT02585934; NCT02615002; NCT02624778; NCT02626572; NCT02632786; NCT02646982; NCT02648672; NCT02667496; NCT02670083; NCT02695004; NCT02702817; NCT02750306; NCT02760602; NCT02783573; NCT02788513; NCT02791191; NCT02792257; NCT02817906; NCT02820155; NCT02820896; NCT02840279; NCT02844699; NCT02907567; NCT02910102; NCT02925650; NCT02956486; NCT03008161; NCT03038035; NCT03044249; NCT03055741; NCT03056729; NCT03075241; NCT03093519; NCT03108846; NCT03113812; NCT03114657; NCT03116126; NCT03179501; NCT03226522; NCT03277573; NCT03282916; NCT03289143; NCT03298672; NCT03316898; NCT03325556; NCT03352557; NCT03367403; NCT03375697; NCT03393520; NCT03418688; NCT03435861; NCT03443973; NCT03444870; NCT03456349; NCT03493282; NCT03507790; NCT03518073; NCT03522129; NCT03531710; NCT03533257; NCT03613844; NCT03620981; NCT03625622; NCT03639987; NCT03649724; NCT03698695; NCT03720548; NCT03757325; NCT03817684; NCT03828747; NCT03838185; NCT03867253; NCT03887455; NCT03935568; NCT03971123; NCT03977584; NCT03980730; NCT04023994; NCT04032626; NCT04074837; NCT04149860; NCT04187547; NCT04191486; NCT04208152; NCT04308304; NCT04311515; NCT04381468; NCT04388254; NCT04408755; NCT04418024; NCT04436081; NCT04437511; NCT04451408; NCT04464564; NCT04468659; NCT04482413; NCT04488419; NCT04491006; NCT04498650; NCT04500847; NCT04520412; NCT04524351; NCT04570085; NCT04592874; NCT04601038; NCT04619420; NCT04629547; NCT04639050; NCT04669028; NCT04672135; NCT04685265; NCT04711486; NCT04730635; NCT04745104; NCT04749563; NCT04759365; NCT04780399; NCT04797715; NCT04798989; NCT04842552; NCT04931459; NCT04939792; NCT04947553; NCT04973189; NCT04994483; NCT05006599; NCT05026177; NCT05026866; NCT05040321; NCT05063539; NCT05063851; NCT05074498; NCT05077501; NCT05077631; NCT05143528; NCT05194163; NCT05227118; NCT05231785; NCT05256134; NCT05267535; NCT05282550; NCT05291234; NCT05307692; NCT05310071; NCT05318040; NCT05318976; NCT05321498; NCT05323812; NCT05344989; NCT05397639; NCT05413655; NCT05423522; NCT05463731; NCT05466422; NCT05468073; NCT05478031; NCT05508789; NCT05511363; NCT05525780; NCT05531526; NCT05531656; NCT05538507; NCT05557409; NCT05564169; NCT05591027; NCT05602727; NCT05606341; NCT05607615; NCT05644262; NCT05644977; NCT05686044; NCT05728736; NCT05738486; NCT05741060; NCT05804383; NCT05809908; NCT05811442; NCT05827653; NCT05834296; NCT05858515; NCT05891496; NCT05965414; NCT05986721; NCT06052163; NCT06096090; NCT06114745; NCT06125951; NCT06126224; NCT06159673; NCT06182085; NCT06185543; NCT06194552; NCT06223360; NCT06274528; NCT06285240; NCT06297590; NCT06335173; NCT06343636; NCT06362707; NCT06402838; NCT06427668; NCT06534723; NCT06538116; NCT06540833; NCT06544616; NCT06546995; NCT06556966; NCT06562114; NCT06585787; NCT06602258; NCT06639282; NCT06651567; NCT06653153; NCT06657768; NCT06677203; NCT06702124; NCT06709014; NCT06718686; NCT06721156; NCT06750432; NCT06786676; NCT06803823; NCT06808984; NCT06814730; NCT06840054; NCT06870058; NCT06881836; NCT06885567; NCT06887192; NCT06938763; NCT07011732; NCT07011745; NCT07027072; NCT07033494; NCT07058688; NCT07107074; NCT07172815; NCT07178678; NCT07191028; NCT07200622; NCT07212062; NCT07213349; NCT07214727; NCT07221344; NCT07230652; NCT07234695; NCT07234942; NCT07251023; NCT07278492; NCT07284472; NCT07328451; NCT07489599; NCT07568041; NCT07571161; NCT07579884; NCT07589595; NCT07591727; NCT07602582; NCT07636811; NCT07651319; NCT07688213; NCT07690228; NCT07717411; NCT07724132; NCT07741526,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Florbetapir F18,florbetapir f18,NCT02667496,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
SAR110894,sar110894,NCT01266525,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
placebo (for SAR110894),placebo for sar110894,NCT01266525,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Donepezil,donepezil,NCT00000173; NCT00006399; NCT00151398; NCT00190021; NCT00348192; NCT00408525; NCT00501111; NCT00519298; NCT00566501; NCT00602680; NCT00693004; NCT00708552; NCT00713765; NCT00766363; NCT00895895; NCT00948909; NCT00959881; NCT01018875; NCT01024660; NCT01042314; NCT01125683; NCT01137526; NCT01255046; NCT01266525; NCT01466088; NCT01487395; NCT01527916; NCT01677754; NCT02051335; NCT02064920; NCT02178124; NCT02305836; NCT02337907; NCT02550665; NCT02580305; NCT02769065; NCT03030105; NCT03055741; NCT03090516; NCT03316898; NCT03698695; NCT04308304; NCT04661280; NCT04730635; NCT05538507; NCT05811000; NCT06041789; NCT06285240,DRUG,comparator_or_background_therapy,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,True
DMB-I (INN: Latrepirdine),dmb i inn latrepirdine,NCT07251023,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Memantine Hydrochloride 20 MG,memantine hydrochloride 20 mg,NCT07251023,DRUG,comparator_or_background_therapy,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,False
Aricept,aricept,NCT00031018; NCT01245530; NCT02968719; NCT03259958; NCT03283059,DRUG,comparator_or_background_therapy,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,True
INM-176,inm 176,NCT01245530,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
